filename,width,depth,auxiliary,seed,accuracy,student_loss_teacher,student_acc_5hot
results_Hidden512_Depth1_Auxiliary50_seed4.pt,512,1,50,4,0.8359375,1.2467650175094604,0.9921875
results_Hidden512_Depth1_Auxiliary100_seed0.pt,512,1,100,0,0.8671875,0.9248142242431641,1.0
results_Hidden512_Depth1_Auxiliary100_seed1.pt,512,1,100,1,0.859375,0.9439370036125183,1.0
results_Hidden512_Depth1_Auxiliary100_seed2.pt,512,1,100,2,0.890625,0.9943501949310303,1.0
results_Hidden512_Depth1_Auxiliary100_seed3.pt,512,1,100,3,0.8515625,0.964515745639801,1.0
results_Hidden512_Depth1_Auxiliary100_seed4.pt,512,1,100,4,0.828125,0.9817667007446289,1.0
results_Hidden512_Depth1_Auxiliary1000_seed0.pt,512,1,1000,0,0.890625,0.6940699815750122,1.0
results_Hidden512_Depth1_Auxiliary1000_seed1.pt,512,1,1000,1,0.8828125,0.7217716574668884,1.0
results_Hidden512_Depth1_Auxiliary1000_seed2.pt,512,1,1000,2,0.890625,0.7383748292922974,0.9921875
results_Hidden512_Depth1_Auxiliary1000_seed3.pt,512,1,1000,3,0.8828125,0.7122796177864075,1.0
results_Hidden512_Depth1_Auxiliary1000_seed4.pt,512,1,1000,4,0.84375,0.7854117155075073,1.0
results_Hidden512_Depth2_Auxiliary3_seed0.pt,512,2,3,0,0.0,2.290302276611328,0.6328125
results_Hidden512_Depth2_Auxiliary3_seed1.pt,512,2,3,1,0.0546875,2.329603672027588,0.5
results_Hidden512_Depth2_Auxiliary3_seed2.pt,512,2,3,2,0.0078125,2.3261122703552246,0.4375
results_Hidden512_Depth2_Auxiliary3_seed3.pt,512,2,3,3,0.0703125,2.297855854034424,0.625
